Date,USDEUR,USDGBP,GBPEUR
14/04/2020,-0.00656673,-0.009800305,0.003136437
15/04/2020,0.006348533,0.008173576,-0.001915543
16/04/2020,0.006416902,0.005370649,0.001654548
17/04/2020,-0.003148925,-0.003493889,0.000260994
20/04/2020,0.001086957,0.005236267,-0.003834762
21/04/2020,0.000543036,0.011497932,-0.011593314
22/04/2020,0.003252035,-0.003324512,0.00677909
23/04/2020,0.004211897,-0.000987167,0.004988851
24/04/2020,-0.004320128,-0.001606228,-0.002710147
27/04/2020,-0.000433041,-0.005207054,0.004890412
28/04/2020,0.000865895,0.00049708,0.000435483
29/04/2020,-0.005097901,-0.003734134,-0.001307019
30/04/2020,-0.007093389,-0.009900451,0.002438388
1/05/2020,-0.002631869,0.008028141,-0.010404465
4/05/2020,0.007002983,0.004114463,0.002720851
5/05/2020,0.006087637,0.000621929,0.005506766
6/05/2020,0.004001952,0.007186253,-0.002968138
7/05/2020,-0.003568536,-0.001358948,-0.002363343
8/05/2020,-0.000650195,-0.003467496,0.00323724
11/05/2020,0.003030633,0.00581361,-0.00297437
12/05/2020,-0.003789729,0.006025226,-0.009949455
13/05/2020,0.002708414,0.001837223,0.000265428
14/05/2020,0.001297438,0.00036704,0.001149375
15/05/2020,-0.001405634,0.010585972,-0.011285498
18/05/2020,-0.008693817,-0.007532535,-0.001520369
19/05/2020,-0.000764317,-0.004644917,0.003930331
20/05/2020,-0.00514703,0.001102063,-0.005811631
21/05/2020,0.00263158,0.001223092,0.000806705
22/05/2020,0.004370636,0.004877464,-0.000179211
25/05/2020,0.000436015,-0.002070016,0.002327248
26/05/2020,-0.007657843,-0.011893954,0.004104217
27/05/2020,-0.002529002,0.006148568,-0.008045815
28/05/2020,-0.006184448,-0.005039032,-0.00161696
29/05/2020,-0.002329064,-0.002590835,-0.000179824
1/06/2020,-0.002779787,-0.011055327,0.008862687
2/06/2020,-0.003122563,-0.00475774,0.001514005
3/06/2020,-0.005712701,-0.002010051,-0.003833984
4/06/2020,-0.009140728,-0.001636147,-0.007532317
5/06/2020,0.003959953,-0.005684346,0.009763166
8/06/2020,-0.000225861,-0.004443605,0.00435808
9/06/2020,-0.003847464,-0.000254518,-0.004090713
10/06/2020,-0.003179653,-0.001528468,-0.001426788
11/06/2020,0.00668823,0.011406968,-0.004651171
12/06/2020,0.003721459,0.005028295,-0.001076426
15/06/2020,-0.005870416,-0.005280374,-0.001077586
16/06/2020,0.005194817,0.002643672,0.002870987
17/06/2020,0.001800586,0.001381997,0.000358295
18/06/2020,0.003479436,0.010615148,-0.007010004
19/06/2020,0.002461953,0.005945026,-0.003704545
22/06/2020,-0.007516724,-0.009678696,0.002350815
23/06/2020,-0.004175371,-0.004123202,-9.03138E-05
24/06/2020,0.005075867,0.007981087,-0.003075534
25/06/2020,0.003033199,0.0001242,0.003075534
26/06/2020,-0.000112177,0.00668402,-0.006887829
29/06/2020,-0.002133753,0.003079389,-0.005105773
30/06/2020,0.000786649,-0.008274206,0.009099244
1/07/2020,-0.001686436,-0.005970167,0.00424821
2/07/2020,0.001124607,0.000498878,0.000541028
3/07/2020,-0.000562145,-0.000998004,0.000810994
6/07/2020,-0.005525811,-0.000874071,-0.005056901
7/07/2020,0.002935865,-0.004130944,0.007126457
8/07/2020,-0.00486014,-0.005282367,0.000449337
9/07/2020,0.003957714,0.000378239,0.003766483
10/07/2020,-0.001242166,-0.001261352,0
13/07/2020,-0.003849207,0.005412563,-0.009352586
14/07/2020,-0.005003422,0,-0.005163289
15/07/2020,-0.001026518,-0.002765558,0.001633394
16/07/2020,0.00250741,0.002765558,0
17/07/2020,-0.004106314,-0.00113044,-0.003542399
20/07/2020,-0.001601465,-0.007442482,0.00643964
21/07/2020,-0.006892618,-0.005586607,-0.001447571
22/07/2020,-0.003695581,-0.000127332,-0.003537258
23/07/2020,-0.002316693,-0.000509489,-0.001727823
24/07/2020,-0.005115695,-0.00421322,-0.000455187
27/07/2020,-0.00819293,-0.006804057,-0.001822822
28/07/2020,0.003050929,-0.003871972,0.006818518
29/07/2020,-0.006464906,-0.005056081,-0.001269266
30/07/2020,-0.004609665,-0.007566898,0.002717885
31/07/2020,0.005788215,0.000785443,0.005053706
3/08/2020,0.00141243,0.000784827,0.000629921
4/08/2020,-0.003416793,0.000261472,-0.003695196
5/08/2020,-0.005206496,-0.003273325,-0.001897963
6/08/2020,-0.001068313,-0.002100565,0.001175354
7/08/2020,0.00769007,0.006941289,0.000903179
10/08/2020,0.004116442,-0.001567398,0.005402012
11/08/2020,-0.000234769,0.001828393,-0.001977351
12/08/2020,-0.003763825,0.001173633,-0.004960551
13/08/2020,-0.002595872,-0.002609945,9.04118E-05
14/08/2020,-0.002365745,-0.001438379,-0.000542594
17/08/2020,-0.002252654,-0.001440451,-0.001448357
18/08/2020,-0.005236237,-0.010141674,0.005150226
19/08/2020,0.00784411,0.01053473,-0.00279771
20/08/2020,-0.001777357,-0.008683123,0.006934778
21/08/2020,0.005322622,0.009337873,-0.00395684
24/08/2020,0.000707547,0.002092325,-0.001442741
25/08/2020,-0.003897719,-0.006816123,0.002793424
26/08/2020,0.000354967,-0.004349839,0.004757853
27/08/2020,0.000709555,0.000660284,0
28/08/2020,-0.006999257,-0.011284554,0.004378721
